OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
257,Maine,"T06 R11 Wels, Township Of",T6 R11 WELS,23,230505,Piscataquis County
258,Maine,"T06 R15 Wels, Township Of",T6 R15 WELS,23,230667,Piscataquis County
259,Maine,"T06 R12 Wels, Township Of",T6 R12 WELS,23,230665,Piscataquis County
260,Maine,"T06 R14 Wels, Township Of",T6 R14 WELS,23,230506,Piscataquis County
261,Maine,"T04 R15 Wels, Township Of",T4 R15 WELS,23,230661,Piscataquis County
262,Maine,"Dole Brook T03 R05 Nbkp, Township Of",Dole Brook Twp,23,230727,Somerset County
263,Maine,"T04 R14 Wels, Township Of",T4 R14 WELS,23,230660,Piscataquis County
264,Maine,"T04 R11 Wels, Township Of",T4 R11 WELS,23,230657,Piscataquis County
265,Maine,"T04 R12 Wels, Township Of",T4 R12 WELS,23,230658,Piscataquis County
266,Maine,"T04 R13 Wels, Township Of",T4 R13 WELS,23,230659,Piscataquis County
267,Maine,"T03 R13 Wels, Township Of",T3 R13 WELS,23,230654,Piscataquis County
268,Maine,"T03 R12 Wels, Township Of",T3 R12 WELS,23,230502,Piscataquis County
269,Maine,"Lobster T3 R14 Wels, Township Of",Lobster Twp,23,230492,Piscataquis County
270,Maine,"T03 R11 Wels, Township Of",T3 R11 WELS,23,230501,Piscataquis County
271,Maine,"Prentiss T04 R04 Nbkp, Township Of",Prentiss Twp T4 R4 NBKP,23,230741,Somerset County
272,Maine,Herseytown T2 R6 Wels,Herseytown Twp,23,230613,Penobscot County
273,Maine,"T02 R10 Wels, Township Of",T2 R10 WELS,23,230652,Piscataquis County
274,Maine,"T02 R09 Wels, Township Of",T2 R9 WELS,23,230651,Piscataquis County
275,Maine,"Tx R14 Wels, Township Of",TX R14 WELS,23,230647,Piscataquis County
276,Maine,"East Middlesex Canal Grant, Township Of",East Middlesex Canal Grant Twp,23,230638,Piscataquis County
277,Maine,"Days Academy Grant, Township Of",Days Academy Grant Twp,23,230486,Piscataquis County
278,Maine,"T01 R06 Wels, Township Of",T1 R6 WELS,23,230620,Penobscot County
279,Maine,"Upper Molunkus T01 R04 Wels, Township Of",Upper Molunkus Twp,23,230768,Aroostook County
280,Maine,"Spencer Bay T1 R14 Wels, Township Of",Spencer Bay Twp,23,230644,Piscataquis County
