Country,BeverageTypes,year,alcohol_per_capita_in_litres
Chile,All types,2000,6.24
Chile,Beer,2000,1.79
Chile,Wine,2000,2.45
Chile,Spirits,2000,1.97
Denmark,All types,2000,11.69
Denmark,Beer,2000,5.76
Denmark,Wine,2000,4.53
Denmark,Spirits,2000,1.41
Germany,All types,2000,12.91
Germany,Beer,2000,7.16
Germany,Wine,2000,3.18
Germany,Spirits,2000,2.57
Ireland,All types,2000,14.07
Ireland,Beer,2000,8.01
Ireland,Wine,2000,1.79
Ireland,Spirits,2000,3.02
New Zealand,All types,2000,8.91
New Zealand,Beer,2000,4.22
New Zealand,Wine,2000,2.57
New Zealand,Spirits,2000,1.37
Switzerland,All types,2000,11.26
Switzerland,Beer,2000,3.39
Switzerland,Wine,2000,5.81
Switzerland,Spirits,2000,1.94
United Kingdom,All types,2000,10.59
United Kingdom,Beer,2000,4.98
United Kingdom,Wine,2000,3.02
United Kingdom,Spirits,2000,1.96
USA,All types,2000,8.21
USA,Beer,2000,4.62
USA,Wine,2000,1.17
USA,Spirits,2000,2.42
